127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/css/web2py-codemirror.css, HTTP/1.1, 200, 0.000509
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.000551
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.000454
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.002281
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001333
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.004259
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.003808
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.011350
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001460
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000477
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.006383
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000688
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.004690
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001624
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.001421
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.001327
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000982
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.000825
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.001521
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.001160
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000457
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002614
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.007185
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.001503
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.000530
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.001678
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/default/edit/kurssihallinta/models/db.py, HTTP/1.1, 200, 0.040668
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.001218
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002889
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.042910
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.095620
127.0.0.1, 2014-05-27 16:11:06, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.142728
127.0.0.1, 2014-05-27 16:11:07, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.134652
127.0.0.1, 2014-05-27 16:11:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2014-05-27 16:12:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.044658
127.0.0.1, 2014-05-27 16:13:06, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.039351
127.0.0.1, 2014-05-27 16:13:24, GET, /admin/default/design/kurssihallinta, HTTP/1.1, 200, 0.103063
127.0.0.1, 2014-05-27 16:13:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000276
127.0.0.1, 2014-05-27 16:13:31, GET, /kurssihallinta/appadmin/index, HTTP/1.1, 500, 0.950433
127.0.0.1, 2014-05-27 16:13:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000676
127.0.0.1, 2014-05-27 16:13:33, GET, /admin/default/design/kurssihallinta, HTTP/1.1, 200, 0.109913
127.0.0.1, 2014-05-27 16:13:33, GET, /favicon.ico, HTTP/1.1, 400, 0.000278
127.0.0.1, 2014-05-27 16:13:44, GET, /, HTTP/1.1, 303, 0.000977
127.0.0.1, 2014-05-27 16:13:45, GET, /welcome/default/index, HTTP/1.1, 200, 0.614814
127.0.0.1, 2014-05-27 16:13:47, GET, /admin/default/index, HTTP/1.1, 200, 0.050539
127.0.0.1, 2014-05-27 16:13:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000316
127.0.0.1, 2014-05-27 16:13:50, POST, /admin/default/index, HTTP/1.1, 303, 0.046978
127.0.0.1, 2014-05-27 16:13:50, GET, /admin/default/site, HTTP/1.1, 200, 0.069361
127.0.0.1, 2014-05-27 16:13:50, POST, /admin/default/check_version, HTTP/1.1, 200, 0.344740
127.0.0.1, 2014-05-27 16:13:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000356
127.0.0.1, 2014-05-27 16:13:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2014-05-27 16:13:52, GET, /favicon.ico, HTTP/1.1, 400, 0.000246
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/default/index, HTTP/1.1, 200, 0.233760
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001376
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001363
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002919
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.001008
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.002031
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.002324
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000588
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.003927
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.003639
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.002856
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.002710
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.004609
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000472
127.0.0.1, 2014-05-27 16:13:56, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.002470
